Period,Futures price (₹/kilogram),Spot price (₹/kilogram),expiration,Time_to_Maturity,Futures_theoretical,Futures_theoretical_round,Deviation,Percentage_deviation,Percentage_deviation_round,Basis,Backwardation,actual<theoretical_futures_price,,,,,,,,,,,,,
17-11-19,1299.2,1416.8,17-12-19,0.082191781,1423.804215,1423.8,-124.6,-8.751229105,-8.8,117.6,Yes,Yes,,,,,,,,,,,,,
18-11-19,1272.6,1390.6,18-12-19,0.082191781,1397.474691,1397.5,-124.9,-8.937388193,-8.9,118,Yes,Yes,,,,,,,,,,,,,
19-11-19,1272.5,1395.1,19-12-19,0.082191781,1401.996937,1402,-129.5,-9.236804565,-9.2,122.6,Yes,Yes,,,,,,,,,,,,,
20-11-19,1275.7,1390.5,20-12-19,0.082191781,1397.374196,1397.4,-121.7,-8.709031058,-8.7,114.8,Yes,Yes,,,,,,,,,,,,,
21-11-19,1284.5,1405.3,21-12-19,0.082191781,1412.247363,1412.2,-127.7,-9.042628523,-9,120.8,Yes,Yes,,,,,,,,,,,,,
22-11-19,1259.1,1383.5,22-12-19,0.082191781,1390.339591,1390.3,-131.2,-9.436812199,-9.4,124.4,Yes,Yes,,,,,,,,,,,,,
23-11-19,1259.1,1383.5,23-12-19,0.082191781,1390.339591,1390.3,-131.2,-9.436812199,-9.4,124.4,Yes,Yes,,,,,,,,,,,,,
24-11-19,1259.1,1383.5,24-12-19,0.082191781,1390.339591,1390.3,-131.2,-9.436812199,-9.4,124.4,Yes,Yes,,,,,,,,,,,,,
25-11-19,1249.4,1394.6,25-12-19,0.082191781,1401.494466,1401.5,-152.1,-10.85265787,-10.9,145.2,Yes,Yes,,,,,,,,,,,,,
26-11-19,1266.1,1395.6,26-12-19,0.082191781,1402.499409,1402.5,-136.4,-9.725490196,-9.7,129.5,Yes,Yes,,,,,,,,,,,,,
27-11-19,1272.6,1401.3,27-12-19,0.082191781,1408.227588,1408.2,-135.6,-9.629314018,-9.6,128.7,Yes,Yes,,,,,,,,,,,,,
28-11-19,1253.2,1392.1,28-12-19,0.082191781,1398.982106,1399,-145.8,-10.42172981,-10.4,138.9,Yes,Yes,,,,,,,,,,,,,
29-11-19,1267.7,1392.5,29-12-19,0.082191781,1399.384084,1399.4,-131.7,-9.411176218,-9.4,124.8,Yes,Yes,,,,,,,,,,,,,
30-11-19,1267.7,1392.5,30-12-19,0.082191781,1399.384084,1399.4,-131.7,-9.411176218,-9.4,124.8,Yes,Yes,,,,,,,,,,,,,
01-12-19,1267.7,1392.5,31-12-19,0.082191781,1399.384084,1399.4,-131.7,-9.411176218,-9.4,124.8,Yes,Yes,,,,,,,,,,,,,
02-12-19,1315.8,1412.9,01-01-20,0.082191781,1419.884935,1419.9,-104.1,-7.331502218,-7.3,97.1,Yes,Yes,,,,,,,,,,,,,
03-12-19,1300.9,1401.3,02-01-20,0.082191781,1408.227588,1408.2,-107.3,-7.619656299,-7.6,100.4,Yes,Yes,,,,,,,,,,,,,
04-12-19,1298,1408.2,03-01-20,0.082191781,1415.1617,1415.2,-117.2,-8.28151498,-8.3,110.2,Yes,Yes,,,,,,,,,,,,,
05-12-19,1299.8,1407,04-01-20,0.082191781,1413.955767,1414,-114.2,-8.076379066,-8.1,107.2,Yes,Yes,,,,,,,,,,,,,
06-12-19,1291,1405,05-01-20,0.082191781,1411.94588,1411.9,-120.9,-8.562929386,-8.6,114,Yes,Yes,,,,,,,,,,,,,
07-12-19,1291,1405,06-01-20,0.082191781,1411.94588,1411.9,-120.9,-8.562929386,-8.6,114,Yes,Yes,,,,,,,,,,,,,
08-12-19,1291,1405,07-01-20,0.082191781,1411.94588,1411.9,-120.9,-8.562929386,-8.6,114,Yes,Yes,,,,,,,,,,,,,
09-12-19,1296,1406.2,08-01-20,0.082191781,1413.151812,1413.2,-117.2,-8.293235211,-8.3,110.2,Yes,Yes,,,,,,,,,,,,,
10-12-19,1306.1,1415,09-01-20,0.082191781,1421.995317,1422,-115.9,-8.150492264,-8.2,108.9,Yes,Yes,,,,,,,,,,,,,
11-12-19,1295.8,1403.4,10-01-20,0.082191781,1410.33797,1410.3,-114.5,-8.118839963,-8.1,107.6,Yes,Yes,,,,,,,,,,,,,
12-12-19,1301.4,1408.7,11-01-20,0.082191781,1415.664172,1415.7,-114.3,-8.073744437,-8.1,107.3,Yes,Yes,,,,,,,,,,,,,
13-12-19,1307.4,1411,12-01-20,0.082191781,1417.975542,1418,-110.6,-7.799717913,-7.8,103.6,Yes,Yes,,,,,,,,,,,,,
14-12-19,1307.4,1411,13-01-20,0.082191781,1417.975542,1418,-110.6,-7.799717913,-7.8,103.6,Yes,Yes,,,,,,,,,,,,,
15-12-19,1307.4,1411,14-01-20,0.082191781,1417.975542,1418,-110.6,-7.799717913,-7.8,103.6,Yes,Yes,,,,,,,,,,,,,
16-12-19,1316,1414.7,15-01-20,0.082191781,1421.693834,1421.7,-105.7,-7.434761201,-7.4,98.7,Yes,Yes,,,,,,,,,,,,,
17-12-19,1307.3,1415.5,16-01-20,0.082191781,1422.497789,1422.5,-115.2,-8.098418278,-8.1,108.2,Yes,Yes,,,,,,,,,,,,,
18-12-19,1307.3,1415.1,17-01-20,0.082191781,1422.095811,1422.1,-114.8,-8.072568736,-8.1,107.8,Yes,Yes,,,,,,,,,,,,,
19-12-19,1295.3,1404.8,18-01-20,0.082191781,1411.744891,1411.7,-116.4,-8.245377913,-8.2,109.5,Yes,Yes,,,,,,,,,,,,,
20-12-19,1288.4,1404.8,19-01-20,0.082191781,1411.744891,1411.7,-123.3,-8.734150315,-8.7,116.4,Yes,Yes,,,,,,,,,,,,,
21-12-19,1288.4,1404.8,20-01-20,0.082191781,1411.744891,1411.7,-123.3,-8.734150315,-8.7,116.4,Yes,Yes,,,,,,,,,,,,,
22-12-19,1288.4,1404.8,21-01-20,0.082191781,1411.744891,1411.7,-123.3,-8.734150315,-8.7,116.4,Yes,Yes,,,,,,,,,,,,,
23-12-19,1277.3,1404.8,22-01-20,0.082191781,1411.744891,1411.7,-134.4,-9.520436353,-9.5,127.5,Yes,Yes,,,,,,,,,,,,,
24-12-19,1278.4,1402.2,23-01-20,0.082191781,1409.132038,1409.1,-130.7,-9.27542403,-9.3,123.8,Yes,Yes,,,,,,,,,,,,,
25-12-19,1278.4,1402.2,24-01-20,0.082191781,1409.132038,1409.1,-130.7,-9.27542403,-9.3,123.8,Yes,Yes,,,,,,,,,,,,,
26-12-19,1289.1,1417.2,25-01-20,0.082191781,1424.206193,1424.2,-135.1,-9.486027243,-9.5,128.1,Yes,Yes,,,,,,,,,,,,,
27-12-19,1296.1,1421.4,26-01-20,0.082191781,1428.426956,1428.4,-132.3,-9.262111453,-9.3,125.3,Yes,Yes,,,,,,,,,,,,,
28-12-19,1296.1,1421.4,27-01-20,0.082191781,1428.426956,1428.4,-132.3,-9.262111453,-9.3,125.3,Yes,Yes,,,,,,,,,,,,,
29-12-19,1296.1,1421.4,28-01-20,0.082191781,1428.426956,1428.4,-132.3,-9.262111453,-9.3,125.3,Yes,Yes,,,,,,,,,,,,,
30-12-19,1300,1430.1,29-01-20,0.082191781,1437.169966,1437.2,-137.2,-9.546340106,-9.5,130.1,Yes,Yes,,,,,,,,,,,,,
31-12-19,1280,1425.4,30-01-20,0.082191781,1432.446731,1432.4,-152.4,-10.63948618,-10.6,145.4,Yes,Yes,,,,,,,,,,,,,
01-01-20,1299.1,1412.1,31-01-20,0.082191781,1419.08098,1419.1,-120,-8.456063702,-8.5,113,Yes,Yes,,,,,,,,,,,,,
02-01-20,1293.5,1415.4,01-02-20,0.082191781,1422.397294,1422.4,-128.9,-9.062148481,-9.1,121.9,Yes,Yes,,,,,,,,,,,,,
03-01-20,1290.9,1410.4,02-02-20,0.082191781,1417.372576,1417.4,-126.5,-8.924791872,-8.9,119.5,Yes,Yes,,,,,,,,,,,,,
04-01-20,1290.9,1410.4,03-02-20,0.082191781,1417.372576,1417.4,-126.5,-8.924791872,-8.9,119.5,Yes,Yes,,,,,,,,,,,,,
05-01-20,1290.9,1410.4,04-02-20,0.082191781,1417.372576,1417.4,-126.5,-8.924791872,-8.9,119.5,Yes,Yes,,,,,,,,,,,,,
06-01-20,1286.1,1401.6,05-02-20,0.082191781,1408.529071,1408.5,-122.4,-8.690095847,-8.7,115.5,Yes,Yes,,,,,,,,,,,,,
07-01-20,1289,1406.5,06-02-20,0.082191781,1413.453295,1413.5,-124.5,-8.807923594,-8.8,117.5,Yes,Yes,,,,,,,,,,,,,
08-01-20,1285.5,1408.3,07-02-20,0.082191781,1415.262194,1415.3,-129.8,-9.171200452,-9.2,122.8,Yes,Yes,,,,,,,,,,,,,
09-01-20,1281.7,1399.2,08-02-20,0.082191781,1406.117206,1406.1,-124.4,-8.84716592,-8.8,117.5,Yes,Yes,,,,,,,,,,,,,
10-01-20,1279.3,1411.7,09-02-20,0.082191781,1418.679003,1418.7,-139.4,-9.825896948,-9.8,132.4,Yes,Yes,,,,,,,,,,,,,
11-01-20,1279.3,1411.7,10-02-20,0.082191781,1418.679003,1418.7,-139.4,-9.825896948,-9.8,132.4,Yes,Yes,,,,,,,,,,,,,
12-01-20,1279.3,1411.7,11-02-20,0.082191781,1418.679003,1418.7,-139.4,-9.825896948,-9.8,132.4,Yes,Yes,,,,,,,,,,,,,
13-01-20,1290.5,1415,12-02-20,0.082191781,1421.995317,1422,-131.5,-9.247538678,-9.2,124.5,Yes,Yes,,,,,,,,,,,,,
14-01-20,1283.6,1413.7,13-02-20,0.082191781,1420.68889,1420.7,-137.1,-9.65017245,-9.7,130.1,Yes,Yes,,,,,,,,,,,,,
15-01-20,1274.2,1409.5,14-02-20,0.082191781,1416.468126,1416.5,-142.3,-10.04588775,-10,135.3,Yes,Yes,,,,,,,,,,,,,
16-01-20,1262.8,1394.4,15-02-20,0.082191781,1401.293477,1401.3,-138.5,-9.883679441,-9.9,131.6,Yes,Yes,,,,,,,,,,,,,
17-01-20,1264.1,1392.2,16-02-20,0.082191781,1399.082601,1399.1,-135,-9.64906011,-9.6,128.1,Yes,Yes,,,,,,,,,,,,,
18-01-20,1264.1,1392.2,17-02-20,0.082191781,1399.082601,1399.1,-135,-9.64906011,-9.6,128.1,Yes,Yes,,,,,,,,,,,,,
19-01-20,1264.1,1392.2,18-02-20,0.082191781,1399.082601,1399.1,-135,-9.64906011,-9.6,128.1,Yes,Yes,,,,,,,,,,,,,
20-01-20,1253.6,1391.8,19-02-20,0.082191781,1398.680623,1398.7,-145.1,-10.37391864,-10.4,138.2,Yes,Yes,,,,,,,,,,,,,
21-01-20,1235.5,1376.3,20-02-20,0.082191781,1383.103996,1383.1,-147.6,-10.67167956,-10.7,140.8,Yes,Yes,,,,,,,,,,,,,
22-01-20,1229.5,1380.8,21-02-20,0.082191781,1387.626243,1387.6,-158.1,-11.39377342,-11.4,151.3,Yes,Yes,,,,,,,,,,,,,
23-01-20,1220.6,1355.2,22-02-20,0.082191781,1361.899684,1361.9,-141.3,-10.3752111,-10.4,134.6,Yes,Yes,,,,,,,,,,,,,
24-01-20,1228.5,1368.9,23-02-20,0.082191781,1375.667413,1375.7,-147.2,-10.70000727,-10.7,140.4,Yes,Yes,,,,,,,,,,,,,
25-01-20,1228.5,1368.9,24-02-20,0.082191781,1375.667413,1375.7,-147.2,-10.70000727,-10.7,140.4,Yes,Yes,,,,,,,,,,,,,
26-01-20,1228.5,1368.9,25-02-20,0.082191781,1375.667413,1375.7,-147.2,-10.70000727,-10.7,140.4,Yes,Yes,,,,,,,,,,,,,
27-01-20,1211,1367.4,26-02-20,0.082191781,1374.159997,1374.2,-163.2,-11.87600058,-11.9,156.4,Yes,Yes,,,,,,,,,,,,,
28-01-20,1208.8,1339.5,27-02-20,0.082191781,1346.122068,1346.1,-137.3,-10.19983656,-10.2,130.7,Yes,Yes,,,,,,,,,,,,,
29-01-20,1197.7,1333.1,28-02-20,0.082191781,1339.690429,1339.7,-142,-10.59938792,-10.6,135.4,Yes,Yes,,,,,,,,,,,,,
30-01-20,1197.7,1346.9,29-02-20,0.082191781,1353.558652,1353.6,-155.9,-11.51743499,-11.5,149.2,Yes,Yes,,,,,,,,,,,,,
31-01-20,1197.7,1330.2,01-03-20,0.082191781,1336.776092,1336.8,-139.1,-10.40544584,-10.4,132.5,Yes,Yes,,,,,,,,,,,,,
01-02-20,1214.1,1330.2,02-03-20,0.082191781,1336.776092,1336.8,-122.7,-9.178635548,-9.2,116.1,Yes,Yes,,,,,,,,,,,,,
02-02-20,1214.1,1330.2,03-03-20,0.082191781,1336.776092,1336.8,-122.7,-9.178635548,-9.2,116.1,Yes,Yes,,,,,,,,,,,,,
03-02-20,1187.5,1316.6,04-03-20,0.082191781,1323.108858,1323.1,-135.6,-10.24865845,-10.2,129.1,Yes,Yes,,,,,,,,,,,,,
04-02-20,1181,1315.9,05-03-20,0.082191781,1322.405397,1322.4,-141.4,-10.69267998,-10.7,134.9,Yes,Yes,,,,,,,,,,,,,
05-02-20,1189.9,1328.1,06-03-20,0.082191781,1334.66571,1334.7,-144.8,-10.8488799,-10.8,138.2,Yes,Yes,,,,,,,,,,,,,
06-02-20,1197.4,1339.2,07-03-20,0.082191781,1345.820585,1345.8,-148.4,-11.0268985,-11,141.8,Yes,Yes,,,,,,,,,,,,,
07-02-20,1195.7,1315.1,08-03-20,0.082191781,1321.601442,1321.6,-125.9,-9.526331719,-9.5,119.4,Yes,Yes,,,,,,,,,,,,,
08-02-20,1195.7,1315.1,09-03-20,0.082191781,1321.601442,1321.6,-125.9,-9.526331719,-9.5,119.4,Yes,Yes,,,,,,,,,,,,,
09-02-20,1195.7,1315.1,10-03-20,0.082191781,1321.601442,1321.6,-125.9,-9.526331719,-9.5,119.4,Yes,Yes,,,,,,,,,,,,,
10-02-20,1190.4,1317.5,11-03-20,0.082191781,1324.013307,1324,-133.6,-10.09063444,-10.1,127.1,Yes,Yes,,,,,,,,,,,,,
11-02-20,1188.3,1320.8,12-03-20,0.082191781,1327.329621,1327.3,-139,-10.47238755,-10.5,132.5,Yes,Yes,,,,,,,,,,,,,
12-02-20,1162.6,1307.6,13-03-20,0.082191781,1314.064365,1314.1,-151.5,-11.52880298,-11.5,145,Yes,Yes,,,,,,,,,,,,,
13-02-20,1152.6,1313.8,14-03-20,0.082191781,1320.295016,1320.3,-167.7,-12.70165871,-12.7,161.2,Yes,Yes,,,,,,,,,,,,,
14-02-20,1139.2,1284.7,15-03-20,0.082191781,1291.051154,1291.1,-151.9,-11.76516149,-11.8,145.5,Yes,Yes,,,,,,,,,,,,,
15-02-20,1139.2,1284.7,16-03-20,0.082191781,1291.051154,1291.1,-151.9,-11.76516149,-11.8,145.5,Yes,Yes,,,,,,,,,,,,,
16-02-20,1139.2,1284.7,17-03-20,0.082191781,1291.051154,1291.1,-151.9,-11.76516149,-11.8,145.5,Yes,Yes,,,,,,,,,,,,,
17-02-20,1172.7,1297,18-03-20,0.082191781,1303.411962,1303.4,-130.7,-10.02762007,-10,124.3,Yes,Yes,,,,,,,,,,,,,
18-02-20,1161.3,1316.7,19-03-20,0.082191781,1323.209352,1323.2,-161.9,-12.23548972,-12.2,155.4,Yes,Yes,,,,,,,,,,,,,
19-02-20,1154.5,1298.4,20-03-20,0.082191781,1304.818883,1304.8,-150.3,-11.51900674,-11.5,143.9,Yes,Yes,,,,,,,,,,,,,
20-02-20,1165,1298.2,21-03-20,0.082191781,1304.617894,1304.6,-139.6,-10.70059788,-10.7,133.2,Yes,Yes,,,,,,,,,,,,,
21-02-20,1165,1298.2,22-03-20,0.082191781,1304.617894,1304.6,-139.6,-10.70059788,-10.7,133.2,Yes,Yes,,,,,,,,,,,,,
22-02-20,1165,1298.2,23-03-20,0.082191781,1304.617894,1304.6,-139.6,-10.70059788,-10.7,133.2,Yes,Yes,,,,,,,,,,,,,
23-02-20,1165,1298.2,24-03-20,0.082191781,1304.617894,1304.6,-139.6,-10.70059788,-10.7,133.2,Yes,Yes,,,,,,,,,,,,,
24-02-20,1211.5,1312.5,25-03-20,0.082191781,1318.988589,1319,-107.5,-8.150113723,-8.2,101,Yes,Yes,,,,,,,,,,,,,
25-02-20,1212.3,1308.7,26-03-20,0.082191781,1315.169803,1315.2,-102.9,-7.823905109,-7.8,96.4,Yes,Yes,,,,,,,,,,,,,
26-02-20,1200.7,1301.7,27-03-20,0.082191781,1308.135197,1308.1,-107.4,-8.210381469,-8.2,101,Yes,Yes,,,,,,,,,,,,,
27-02-20,1215.9,1300.7,28-03-20,0.082191781,1307.130253,1307.1,-91.2,-6.977277944,-7,84.8,Yes,Yes,,,,,,,,,,,,,
28-02-20,1215.6,1309.7,29-03-20,0.082191781,1316.174747,1316.2,-100.6,-7.643215317,-7.6,94.1,Yes,Yes,,,,,,,,,,,,,
29-02-20,1215.6,1309.7,30-03-20,0.082191781,1316.174747,1316.2,-100.6,-7.643215317,-7.6,94.1,Yes,Yes,,,,,,,,,,,,,
01-03-20,1215.6,1309.7,31-03-20,0.082191781,1316.174747,1316.2,-100.6,-7.643215317,-7.6,94.1,Yes,Yes,,,,,,,,,,,,,
02-03-20,1161.7,1285.8,01-04-20,0.082191781,1292.156592,1292.2,-130.5,-10.09905587,-10.1,124.1,Yes,Yes,,,,,,,,,,,,,
03-03-20,1167.2,1293.2,02-04-20,0.082191781,1299.593176,1299.6,-132.4,-10.18775008,-10.2,126,Yes,Yes,,,,,,,,,,,,,
04-03-20,1209.2,1317.5,03-04-20,0.082191781,1324.013307,1324,-114.8,-8.670694864,-8.7,108.3,Yes,Yes,,,,,,,,,,,,,
05-03-20,1193.4,1312.8,04-04-20,0.082191781,1319.290072,1319.3,-125.9,-9.542939438,-9.5,119.4,Yes,Yes,,,,,,,,,,,,,
06-03-20,1189.6,1299.7,05-04-20,0.082191781,1306.12531,1306.1,-116.5,-8.919684557,-8.9,110.1,Yes,Yes,,,,,,,,,,,,,
07-03-20,1189.6,1299.7,06-04-20,0.082191781,1306.12531,1306.1,-116.5,-8.919684557,-8.9,110.1,Yes,Yes,,,,,,,,,,,,,
08-03-20,1189.6,1299.7,07-04-20,0.082191781,1306.12531,1306.1,-116.5,-8.919684557,-8.9,110.1,Yes,Yes,,,,,,,,,,,,,
09-03-20,1186.6,1302.4,08-04-20,0.082191781,1308.838658,1308.8,-122.2,-9.336797066,-9.3,115.8,Yes,Yes,,,,,,,,,,,,,
10-03-20,1186.6,1302.4,09-04-20,0.082191781,1308.838658,1308.8,-122.2,-9.336797066,-9.3,115.8,Yes,Yes,,,,,,,,,,,,,
11-03-20,1179.4,1299.5,10-04-20,0.082191781,1305.924321,1305.9,-126.5,-9.686806034,-9.7,120.1,Yes,Yes,,,,,,,,,,,,,
12-03-20,1153.1,1289.8,11-04-20,0.082191781,1296.176367,1296.2,-143.1,-11.03996297,-11,136.7,Yes,Yes,,,,,,,,,,,,,
13-03-20,1160.7,1299.5,12-04-20,0.082191781,1305.924321,1305.9,-145.2,-11.11876867,-11.1,138.8,Yes,Yes,,,,,,,,,,,,,
14-03-20,1160.7,1299.5,13-04-20,0.082191781,1305.924321,1305.9,-145.2,-11.11876867,-11.1,138.8,Yes,Yes,,,,,,,,,,,,,
15-03-20,1160.7,1299.5,14-04-20,0.082191781,1305.924321,1305.9,-145.2,-11.11876867,-11.1,138.8,Yes,Yes,,,,,,,,,,,,,
16-03-20,1127.7,1288.3,15-04-20,0.082191781,1294.668952,1294.7,-167,-12.89874102,-12.9,160.6,Yes,Yes,,,,,,,,,,,,,
17-03-20,1120.6,1299,16-04-20,0.082191781,1305.421849,1305.4,-184.8,-14.15658036,-14.2,178.4,Yes,Yes,,,,,,,,,,,,,
18-03-20,1164.1,1300.5,17-04-20,0.082191781,1306.929265,1306.9,-142.8,-10.92662025,-10.9,136.4,Yes,Yes,,,,,,,,,,,,,
19-03-20,1186.7,1301.2,18-04-20,0.082191781,1307.632725,1307.6,-120.9,-9.245946773,-9.2,114.5,Yes,Yes,,,,,,,,,,,,,
20-03-20,1177.4,1295.1,19-04-20,0.082191781,1301.502569,1301.5,-124.1,-9.535151748,-9.5,117.7,Yes,Yes,,,,,,,,,,,,,
21-03-20,1177.4,1295.1,20-04-20,0.082191781,1301.502569,1301.5,-124.1,-9.535151748,-9.5,117.7,Yes,Yes,,,,,,,,,,,,,
22-03-20,1177.4,1295.1,21-04-20,0.082191781,1301.502569,1301.5,-124.1,-9.535151748,-9.5,117.7,Yes,Yes,,,,,,,,,,,,,
23-03-20,1130.4,1295.1,22-04-20,0.082191781,1301.502569,1301.5,-171.1,-13.14636957,-13.1,164.7,Yes,Yes,,,,,,,,,,,,,
24-03-20,1174.5,1295.1,23-04-20,0.082191781,1301.502569,1301.5,-127,-9.757971571,-9.8,120.6,Yes,Yes,,,,,,,,,,,,,
25-03-20,1169.5,1295.1,24-04-20,0.082191781,1301.502569,1301.5,-132,-10.14214368,-10.1,125.6,Yes,Yes,,,,,,,,,,,,,
26-03-20,1185.2,1295.1,25-04-20,0.082191781,1301.502569,1301.5,-116.3,-8.935843258,-8.9,109.9,Yes,Yes,,,,,,,,,,,,,
27-03-20,1215,1295.1,26-04-20,0.082191781,1301.502569,1301.5,-86.5,-6.646177488,-6.6,80.1,Yes,Yes,,,,,,,,,,,,,
28-03-20,1215,1295.1,27-04-20,0.082191781,1301.502569,1301.5,-86.5,-6.646177488,-6.6,80.1,Yes,Yes,,,,,,,,,,,,,
29-03-20,1215,1295.1,28-04-20,0.082191781,1301.502569,1301.5,-86.5,-6.646177488,-6.6,80.1,Yes,Yes,,,,,,,,,,,,,
30-03-20,1215,1295.1,29-04-20,0.082191781,1301.502569,1301.5,-86.5,-6.646177488,-6.6,80.1,Yes,Yes,,,,,,,,,,,,,
31-03-20,1250,1295.1,30-04-20,0.082191781,1301.502569,1301.5,-51.5,-3.956972724,-4,45.1,Yes,Yes,,,,,,,,,,,,,
01-04-20,1115.8,1295.1,01-05-20,0.082191781,1301.502569,1301.5,-185.7,-14.26815213,-14.3,179.3,Yes,Yes,,,,,,,,,,,,,
02-04-20,1115.8,1295.1,02-05-20,0.082191781,1301.502569,1301.5,-185.7,-14.26815213,-14.3,179.3,Yes,Yes,,,,,,,,,,,,,
03-04-20,1159.9,1295.1,03-05-20,0.082191781,1301.502569,1301.5,-141.6,-10.87975413,-10.9,135.2,Yes,Yes,,,,,,,,,,,,,
04-04-20,1159.9,1295.1,04-05-20,0.082191781,1301.502569,1301.5,-141.6,-10.87975413,-10.9,135.2,Yes,Yes,,,,,,,,,,,,,
05-04-20,1159.9,1295.1,05-05-20,0.082191781,1301.502569,1301.5,-141.6,-10.87975413,-10.9,135.2,Yes,Yes,,,,,,,,,,,,,
06-04-20,1159.9,1295.1,06-05-20,0.082191781,1301.502569,1301.5,-141.6,-10.87975413,-10.9,135.2,Yes,Yes,,,,,,,,,,,,,
07-04-20,1179.8,1295.1,07-05-20,0.082191781,1301.502569,1301.5,-121.7,-9.350749136,-9.4,115.3,Yes,Yes,,,,,,,,,,,,,
08-04-20,1177.3,1295.1,08-05-20,0.082191781,1301.502569,1301.5,-124.2,-9.54283519,-9.5,117.8,Yes,Yes,,,,,,,,,,,,,
09-04-20,1195,1295.1,09-05-20,0.082191781,1301.502569,1301.5,-106.5,-8.182865924,-8.2,100.1,Yes,Yes,,,,,,,,,,,,,
10-04-20,1195,1295.1,10-05-20,0.082191781,1301.502569,1301.5,-106.5,-8.182865924,-8.2,100.1,Yes,Yes,,,,,,,,,,,,,
11-04-20,1195,1295.1,11-05-20,0.082191781,1301.502569,1301.5,-106.5,-8.182865924,-8.2,100.1,Yes,Yes,,,,,,,,,,,,,
12-04-20,1195,1295.1,12-05-20,0.082191781,1301.502569,1301.5,-106.5,-8.182865924,-8.2,100.1,Yes,Yes,,,,,,,,,,,,,
13-04-20,1234.9,1295.1,13-05-20,0.082191781,1301.502569,1301.5,-66.6,-5.117172493,-5.1,60.2,Yes,Yes,,,,,,,,,,,,,
14-04-20,1234.9,1295.1,14-05-20,0.082191781,1301.502569,1301.5,-66.6,-5.117172493,-5.1,60.2,Yes,Yes,,,,,,,,,,,,,
15-04-20,1284.2,1295.1,15-05-20,0.082191781,1301.502569,1301.5,-17.3,-1.329235498,-1.3,10.9,Yes,Yes,,,,,,,,,,,,,
16-04-20,1237.5,1295.1,16-05-20,0.082191781,1301.502569,1301.5,-64,-4.917402997,-4.9,57.6,Yes,Yes,,,,,,,,,,,,,
17-04-20,1243.4,1295.1,17-05-20,0.082191781,1301.502569,1301.5,-58.1,-4.464079908,-4.5,51.7,Yes,Yes,,,,,,,,,,,,,
18-04-20,1243.4,1295.1,18-05-20,0.082191781,1301.502569,1301.5,-58.1,-4.464079908,-4.5,51.7,Yes,Yes,,,,,,,,,,,,,
19-04-20,1243.4,1295.1,19-05-20,0.082191781,1301.502569,1301.5,-58.1,-4.464079908,-4.5,51.7,Yes,Yes,,,,,,,,,,,,,
20-04-20,1251.2,1295.1,20-05-20,0.082191781,1301.502569,1301.5,-50.3,-3.864771418,-3.9,43.9,Yes,Yes,,,,,,,,,,,,,
21-04-20,1253.7,1295.1,21-05-20,0.082191781,1301.502569,1301.5,-47.8,-3.672685363,-3.7,41.4,Yes,Yes,,,,,,,,,,,,,
22-04-20,1231.5,1295.1,22-05-20,0.082191781,1301.502569,1301.5,-70,-5.378409527,-5.4,63.6,Yes,Yes,,,,,,,,,,,,,
23-04-20,1239.9,1295.1,23-05-20,0.082191781,1301.502569,1301.5,-61.6,-4.733000384,-4.7,55.2,Yes,Yes,,,,,,,,,,,,,
24-04-20,1274.3,1295.1,24-05-20,0.082191781,1301.502569,1301.5,-27.2,-2.089896274,-2.1,20.8,Yes,Yes,,,,,,,,,,,,,
25-04-20,1274.3,1295.1,25-05-20,0.082191781,1301.502569,1301.5,-27.2,-2.089896274,-2.1,20.8,Yes,Yes,,,,,,,,,,,,,
26-04-20,1274.3,1295.1,26-05-20,0.082191781,1301.502569,1301.5,-27.2,-2.089896274,-2.1,20.8,Yes,Yes,,,,,,,,,,,,,
27-04-20,1232.6,1295.1,27-05-20,0.082191781,1301.502569,1301.5,-68.9,-5.293891663,-5.3,62.5,Yes,Yes,,,,,,,,,,,,,
28-04-20,1232.6,1295.1,28-05-20,0.082191781,1301.502569,1301.5,-68.9,-5.293891663,-5.3,62.5,Yes,Yes,,,,,,,,,,,,,
29-04-20,1231.3,1295.1,29-05-20,0.082191781,1301.502569,1301.5,-70.2,-5.393776412,-5.4,63.8,Yes,Yes,,,,,,,,,,,,,
30-04-20,1236.9,1295.1,30-05-20,0.082191781,1301.502569,1301.5,-64.6,-4.96350365,-5,58.2,Yes,Yes,,,,,,,,,,,,,
01-05-20,1178.9,1295.1,31-05-20,0.082191781,1301.502569,1301.5,-122.6,-9.419900115,-9.4,116.2,Yes,Yes,,,,,,,,,,,,,
02-05-20,1178.9,1295.1,01-06-20,0.082191781,1301.502569,1301.5,-122.6,-9.419900115,-9.4,116.2,Yes,Yes,,,,,,,,,,,,,
03-05-20,1178.9,1295.1,02-06-20,0.082191781,1301.502569,1301.5,-122.6,-9.419900115,-9.4,116.2,Yes,Yes,,,,,,,,,,,,,
04-05-20,1176,1295.1,03-06-20,0.082191781,1301.502569,1301.5,-125.5,-9.642719939,-9.6,119.1,Yes,Yes,,,,,,,,,,,,,
05-05-20,1174.8,1295.1,04-06-20,0.082191781,1301.502569,1301.5,-126.7,-9.734921245,-9.7,120.3,Yes,Yes,,,,,,,,,,,,,
06-05-20,1193.4,1295.1,05-06-20,0.082191781,1301.502569,1301.5,-108.1,-8.305800999,-8.3,101.7,Yes,Yes,,,,,,,,,,,,,
07-05-20,1184.3,1295.1,06-06-20,0.082191781,1301.502569,1301.5,-117.2,-9.004994237,-9,110.8,Yes,Yes,,,,,,,,,,,,,
