Date,Futures price (₹/kilogram),Spot price (₹/ kilogram)
27-07-2016,925.9,1071.1
28-07-2016,911.5,1060.7
29-07-2016,892.3,1040.1
30-07-2016,892.3,1040.1
31-07-2016,892.3,1040.1
01-08-2016,933,1069.4
02-08-2016,937.7,1076
03-08-2016,939.2,1067
04-08-2016,929.1,1071.5
05-08-2016,927.3,1067.8
06-08-2016,927.3,1067.8
07-08-2016,927.3,1067.8
08-08-2016,900.1,1043.9
09-08-2016,905.3,1036.5
10-08-2016,914.6,1053.3
11-08-2016,905.5,1043.9
12-08-2016,906,1047.8
13-08-2016,906,1047.8
14-08-2016,906,1047.8
15-08-2016,906,1047.8
16-08-2016,897.3,1041.9
17-08-2016,892.6,1040.7
18-08-2016,888.1,1040.7
19-08-2016,886.1,1033.5
20-08-2016,886.1,1033.5
21-08-2016,886.1,1033.5
22-08-2016,882.5,1036.5
23-08-2016,903.3,1045
24-08-2016,900.8,1048.2
25-08-2016,879.1,1036.3
26-08-2016,887.1,1036.6
27-08-2016,887.1,1036.6
28-08-2016,887.1,1036.6
29-08-2016,880.7,1035.7
30-08-2016,888,1034.8
31-08-2016,896.4,1037.8
01-09-2016,888.7,1030.6
02-09-2016,894.7,1030.2
03-09-2016,894.7,1030.2
04-09-2016,894.7,1030.2
05-09-2016,894.7,1030.2
06-09-2016,904.6,1034.3
07-09-2016,910.8,1039.1
08-09-2016,900.1,1036.3
09-09-2016,900.6,1034.6
10-09-2016,900.6,1034.6
11-09-2016,900.6,1034.6
12-09-2016,902.7,1034.2
13-09-2016,902.7,1034.2
14-09-2016,908.5,1037.4
15-09-2016,901,1034.1
16-09-2016,898.2,1031.1
17-09-2016,898.2,1031.1
18-09-2016,898.2,1031.1
19-09-2016,890.6,1025.8
20-09-2016,883.4,1021.5
21-09-2016,883.5,1021.6
22-09-2016,878.3,1019.8
23-09-2016,877.3,1019.4
24-09-2016,877.3,1019.4
25-09-2016,877.3,1019.4
26-09-2016,870.9,1017.2
27-09-2016,853,1005.5
28-09-2016,864,1006.3
29-09-2016,850.9,1001.1
30-09-2016,859.9,998.6
01-10-2016,859.9,998.6
02-10-2016,859.9,998.6
03-10-2016,874.2,1012.2
04-10-2016,867.8,1013.5
05-10-2016,857.7,1008.7
06-10-2016,866.6,1011.2
07-10-2016,866.4,1009.6
08-10-2016,866.4,1009.6
09-10-2016,866.4,1009.6
10-10-2016,869.6,1014.1
11-10-2016,869.6,1014.1
12-10-2016,869.6,1014.1
13-10-2016,883,1024
14-10-2016,904.7,1042.2
15-10-2016,904.7,1042.2
16-10-2016,904.7,1042.2
17-10-2016,919.9,1055.4
18-10-2016,921.7,1056.8
19-10-2016,912.1,1047.6
20-10-2016,911.2,1044.1
21-10-2016,903.7,1038.7
22-10-2016,903.7,1038.7
23-10-2016,903.7,1038.7
24-10-2016,891.3,1030.3
25-10-2016,893.3,1030.8
26-10-2016,902.4,1034
27-10-2016,900,1037.5
28-10-2016,903.3,1038.3
29-10-2016,903.3,1038.3
30-10-2016,916.4,1038.3
31-10-2016,916.4,1038.3
01-11-2016,951.8,1038.3
02-11-2016,944.5,1065
03-11-2016,931.1,1058.4
04-11-2016,966.6,1071.3
05-11-2016,966.6,1071.3
06-11-2016,966.6,1071.3
07-11-2016,958.7,1069.5
08-11-2016,974.2,1079.5
09-11-2016,936.2,1079.5
10-11-2016,918,1079.5
11-11-2016,931,1079.5
12-11-2016,931,1079.5
13-11-2016,931,1079.5
14-11-2016,931,1079.5
15-11-2016,968.2,1079.5
16-11-2016,977.3,1079.5
17-11-2016,972.2,1079.5
18-11-2016,976.1,1079.5
19-11-2016,976.1,1079.5
20-11-2016,976.1,1079.5
21-11-2016,950.3,1079.5
22-11-2016,931.4,1079.5
23-11-2016,915.1,1079.5
24-11-2016,932.3,1079.5
25-11-2016,945.1,1079.5
26-11-2016,945.1,1079.5
27-11-2016,945.1,1079.5
28-11-2016,967.5,1079.5
29-11-2016,959,1072
30-11-2016,952.1,1086.9
01-12-2016,978.5,1063
02-12-2016,972.2,1059.7
03-12-2016,972.2,1059.7
04-12-2016,972.2,1059.7
05-12-2016,981.2,1071.4
06-12-2016,981.2,1069.7
07-12-2016,961.2,1050.2
08-12-2016,957.4,1052.5
09-12-2016,970.8,1052
10-12-2016,970.8,1052
11-12-2016,970.8,1052
12-12-2016,970.8,1052
13-12-2016,1003.4,1056.2
14-12-2016,1006.8,1082.8
15-12-2016,997.6,1072
16-12-2016,998.9,1069.2
17-12-2016,998.9,1069.2
18-12-2016,998.9,1069.2
19-12-2016,1026.8,1093.9
20-12-2016,1022.2,1104.8
21-12-2016,1046.2,1130.2
22-12-2016,1030.4,1117.7
23-12-2016,1025.7,1123.9
24-12-2016,1025.7,1123.9
25-12-2016,1025.7,1123.9
26-12-2016,1005.3,1115.8
27-12-2016,1031.9,1128.6
28-12-2016,1026.2,1125.5
29-12-2016,1026.4,1130
