Period,Futures price (₹/kilogram),Spot price (₹/kilogram)
15-09-2020,962.8,1102
16-09-2020,965.5,1090.2
17-09-2020,959.5,1123.8
18-09-2020,949.3,1112.6
19-09-2020,949.3,1112.6
20-09-2020,949.3,1112.6
21-09-2020,936.9,1087.6
22-09-2020,936.1,1087.9
23-09-2020,936.6,1084.1
24-09-2020,927.7,1091.2
25-09-2020,927.8,1093.4
26-09-2020,927.8,1093.4
27-09-2020,927.8,1093.4
28-09-2020,927.8,1092.7
29-09-2020,940,1098.5
30-09-2020,940,1086.6
01-10-2020,947,1095.9
02-10-2020,947,1095.9
03-10-2020,947,1095.9
04-10-2020,947,1095.9
05-10-2020,935.6,1066.3
06-10-2020,943.8,1112.1
07-10-2020,951.1,1116.5
08-10-2020,948.3,1116.5
09-10-2020,940.4,1091.1
10-10-2020,940.4,1091.1
11-10-2020,940.4,1091.1
12-10-2020,944.2,1090.7
13-10-2020,946.1,1091.1
14-10-2020,945.8,1091.6
15-10-2020,943.2,1087.9
16-10-2020,937.7,1081.9
17-10-2020,937.7,1081.9
18-10-2020,937.7,1081.9
19-10-2020,935.2,1100.9
20-10-2020,937.9,1076.6
21-10-2020,935.9,1099.9
22-10-2020,935.8,1077.1
23-10-2020,923.5,1097.4
24-10-2020,923.5,1097.4
25-10-2020,923.5,1097.4
26-10-2020,927.7,1095.6
27-10-2020,927.7,1112.4
28-10-2020,937.5,1083.2
29-10-2020,945,1086.8
30-10-2020,945,1063.8
31-10-2020,945,1063.8
01-11-2020,945,1063.8
02-11-2020,949.3,1065.7
03-11-2020,953.7,1110
04-11-2020,955,1110
