Date,Price,Open,High,Low,Vol.,Change %
19-11-2018,"1,724.60","1,770.00","1,771.50","1,724.60",1.02K,-4.00%
16-11-2018,"1,796.40","1,795.00","1,806.90","1,788.00",0.80K,-0.46%
15-11-2018,"1,804.70","1,806.00","1,820.90","1,798.00",0.95K,0.40%
14-11-2018,"1,797.50","1,798.00","1,802.10","1,781.60",0.97K,-1.15%
13-11-2018,"1,818.50","1,810.60","1,825.00","1,792.60",1.12K,0.56%
12-11-2018,"1,808.40","1,775.10","1,812.90","1,775.10",1.20K,2.65%
09-11-2018,"1,761.80","1,757.90","1,772.00","1,754.00",0.64K,0.01%
08-11-2018,"1,761.70","1,761.70","1,761.70","1,761.70",,0.00%
07-11-2018,"1,761.70","1,775.00","1,781.70","1,753.80",0.60K,-0.60%
06-11-2018,"1,772.40","1,746.00","1,778.00","1,742.50",1.02K,1.80%
05-11-2018,"1,741.10","1,765.10","1,773.00","1,731.30",1.25K,-1.52%
02-11-2018,"1,767.90","1,805.10","1,807.00","1,765.60",1.43K,-2.87%
01-11-2018,"1,820.20","1,805.10","1,826.00","1,801.50",0.98K,0.45%
31-10-2018,"1,812.00","1,800.00","1,846.10","1,790.00",0.05K,1.09%
30-10-2018,"1,792.40","1,778.00","1,795.70","1,763.00",0.16K,0.57%
29-10-2018,"1,782.20","1,790.00","1,800.20","1,775.00",0.15K,0.12%
26-10-2018,"1,780.10","1,794.50","1,801.50","1,775.90",0.26K,-0.15%
25-10-2018,"1,782.80","1,769.80","1,796.20","1,769.70",0.45K,0.26%
24-10-2018,"1,778.10","1,767.00","1,794.50","1,764.00",0.79K,1.27%
23-10-2018,"1,755.80","1,719.00","1,773.40","1,711.80",0.93K,1.70%
22-10-2018,"1,726.50","1,718.90","1,732.00","1,718.90",0.64K,1.42%
19-10-2018,"1,702.30","1,710.00","1,711.00","1,689.30",0.75K,-0.74%
18-10-2018,"1,715.00","1,715.00","1,715.00","1,715.00",,0.00%
17-10-2018,"1,715.00","1,714.90","1,724.50","1,709.00",0.60K,0.39%
16-10-2018,"1,708.40","1,721.00","1,726.80","1,700.00",0.97K,-0.44%
15-10-2018,"1,715.90","1,701.90","1,720.00","1,699.00",0.99K,1.65%
12-10-2018,"1,688.10","1,700.10","1,707.10","1,681.70",1.13K,-1.20%
11-10-2018,"1,708.60","1,734.80","1,736.60","1,702.80",1.55K,-1.50%
10-10-2018,"1,734.70","1,734.00","1,752.00","1,729.80",1.31K,0.24%
09-10-2018,"1,730.60","1,705.40","1,737.00","1,705.40",1.13K,1.57%
08-10-2018,"1,703.90","1,694.00","1,723.00","1,685.60",1.33K,-0.73%
05-10-2018,"1,716.50","1,735.40","1,756.00","1,706.70",1.83K,-0.44%
04-10-2018,"1,724.10","1,675.00","1,728.30","1,674.20",1.54K,3.74%
03-10-2018,"1,661.90","1,654.50","1,666.20","1,647.00",1.01K,-0.62%
01-10-2018,"1,672.30","1,669.80","1,694.00","1,665.50",1.25K,1.88%
28-09-2018,"1,641.40","1,635.70","1,654.60","1,625.00",0.09K,2.17%
27-09-2018,"1,606.50","1,616.00","1,642.90","1,596.60",0.23K,-0.38%
26-09-2018,"1,612.60","1,628.90","1,642.00","1,611.10",0.36K,-2.37%
25-09-2018,"1,651.80","1,652.50","1,675.00","1,624.10",0.86K,-0.70%
24-09-2018,"1,663.40","1,712.70","1,712.70","1,656.60",1.15K,-2.47%
21-09-2018,"1,705.50","1,732.00","1,737.00","1,695.10",1.77K,-0.39%
20-09-2018,"1,712.10","1,712.10","1,712.10","1,712.10",,0.00%
19-09-2018,"1,712.10","1,700.00","1,739.80","1,700.00",1.71K,1.21%
18-09-2018,"1,691.70","1,691.70","1,697.50","1,635.60",2.14K,0.79%
17-09-2018,"1,678.40","1,702.00","1,709.70","1,657.00",1.84K,-2.49%
14-09-2018,"1,721.20","1,750.60","1,762.90","1,712.60",1.58K,-3.24%
13-09-2018,"1,778.90","1,778.90","1,778.90","1,778.90",,0.00%
12-09-2018,"1,778.90","1,794.90","1,808.40","1,747.00",1.95K,-0.50%
11-09-2018,"1,787.80","1,795.00","1,801.00","1,776.10",1.21K,-1.36%
10-09-2018,"1,812.50","1,794.90","1,814.30","1,786.10",1.09K,3.89%
07-09-2018,"1,744.60","1,719.90","1,766.00","1,695.60",1.71K,1.28%
06-09-2018,"1,722.60","1,683.20","1,727.40","1,682.00",1.24K,2.71%
05-09-2018,"1,677.10","1,715.00","1,720.50","1,656.10",1.67K,-1.91%
04-09-2018,"1,709.80","1,767.10","1,777.60","1,696.10",1.76K,-3.01%
03-09-2018,"1,762.90","1,790.00","1,800.50","1,750.40",1.70K,0.34%
31-08-2018,"1,756.90","1,749.00","1,763.90","1,680.00",0.09K,2.01%
30-08-2018,"1,722.20","1,757.30","1,763.40","1,718.60",0.14K,-2.79%
29-08-2018,"1,771.70","1,746.30","1,775.00","1,681.30",0.20K,2.46%
28-08-2018,"1,729.10","1,712.00","1,735.00","1,692.60",0.50K,1.03%
27-08-2018,"1,711.40","1,686.00","1,721.10","1,675.00",0.93K,1.94%
24-08-2018,"1,678.80","1,672.00","1,683.80","1,666.00",0.93K,0.54%
23-08-2018,"1,669.80","1,677.60","1,677.90","1,653.10",1.03K,0.19%
22-08-2018,"1,666.70","1,666.70","1,666.70","1,666.70",,0.00%
21-08-2018,"1,666.70","1,662.00","1,674.00","1,653.10",0.88K,0.50%
20-08-2018,"1,658.40","1,655.00","1,669.30","1,628.50",1.26K,0.58%
17-08-2018,"1,648.80","1,664.00","1,673.00","1,645.00",1.00K,-1.14%
16-08-2018,"1,667.80","1,660.00","1,675.30","1,627.30",1.60K,0.92%
14-08-2018,"1,652.60","1,674.00","1,695.00","1,628.20",2.32K,-1.71%
13-08-2018,"1,681.30","1,620.00","1,682.70","1,610.00",1.73K,2.91%
10-08-2018,"1,633.70","1,655.00","1,675.00","1,628.00",2.25K,-0.07%
09-08-2018,"1,634.90","1,603.00","1,644.00","1,600.60",1.56K,3.06%
08-08-2018,"1,586.30","1,560.00","1,598.30","1,553.60",1.54K,2.22%
07-08-2018,"1,551.80","1,538.40","1,562.00","1,529.00",1.10K,1.40%
06-08-2018,"1,530.40","1,558.90","1,558.90","1,520.00",0.92K,-1.00%
03-08-2018,"1,545.90","1,537.00","1,555.00","1,517.40",1.23K,0.57%
02-08-2018,"1,537.10","1,560.10","1,569.00","1,506.20",1.89K,-1.00%
01-08-2018,"1,552.70","1,545.00","1,584.70","1,535.50",1.85K,2.44%
31-07-2018,"1,515.70","1,440.10","1,528.40","1,440.10",0.05K,2.14%
30-07-2018,"1,483.90","1,499.40","1,499.40","1,483.90",0.13K,-4.00%
27-07-2018,"1,545.70","1,550.00","1,550.60","1,514.00",0.39K,-0.90%
26-07-2018,"1,559.80","1,564.20","1,575.00","1,548.50",0.43K,1.93%
25-07-2018,"1,530.20","1,527.50","1,560.00","1,521.10",0.93K,1.72%
24-07-2018,"1,504.30","1,546.50","1,550.20","1,495.10",1.11K,-2.97%
23-07-2018,"1,550.40","1,578.00","1,578.00","1,522.10",1.04K,-1.85%
20-07-2018,"1,579.60","1,569.30","1,634.00","1,569.30",1.65K,0.48%
19-07-2018,"1,572.00","1,523.70","1,572.00","1,523.70",1.45K,4.00%
18-07-2018,"1,511.60","1,550.00","1,550.00","1,510.70",1.87K,-3.94%
17-07-2018,"1,573.60","1,519.90","1,594.90","1,508.00",2.18K,2.23%
16-07-2018,"1,539.30","1,599.90","1,615.10","1,539.30",1.96K,-4.00%
13-07-2018,"1,603.40","1,558.60","1,603.50","1,546.00",2.15K,3.99%
12-07-2018,"1,541.90","1,539.90","1,581.30","1,496.60",3.05K,1.41%
11-07-2018,"1,520.50","1,472.90","1,520.50","1,469.00",1.31K,3.99%
10-07-2018,"1,462.10","1,480.00","1,495.50","1,455.00",2.92K,1.68%
09-07-2018,"1,438.00","1,424.10","1,438.00","1,398.40",1.62K,4.00%
06-07-2018,"1,382.70","1,350.50","1,389.30","1,346.40",2.25K,3.50%
05-07-2018,"1,335.90","1,307.90","1,356.20","1,293.20",1.95K,2.44%
04-07-2018,"1,304.10","1,290.00","1,353.30","1,290.00",2.30K,-1.12%
03-07-2018,"1,318.90","1,306.20","1,318.90","1,280.00",1.22K,4.00%
02-07-2018,"1,268.20","1,236.00","1,268.20","1,236.00",0.33K,3.96%
29-06-2018,"1,219.90","1,180.10","1,221.20","1,170.10",0.09K,2.88%
28-06-2018,"1,185.70","1,178.30","1,197.00","1,178.00",0.29K,-0.04%
27-06-2018,"1,186.20","1,177.40","1,189.80","1,153.20",0.34K,0.82%
26-06-2018,"1,176.50","1,171.90","1,188.00","1,170.00",0.41K,1.42%
25-06-2018,"1,160.00","1,157.00","1,171.90","1,142.00",0.89K,1.05%
22-06-2018,"1,147.90","1,169.90","1,169.90","1,144.00",1.04K,-2.85%
21-06-2018,"1,181.60","1,168.00","1,184.60","1,165.00",1.16K,2.11%
20-06-2018,"1,157.20","1,151.50","1,166.80","1,138.00",1.27K,0.29%
19-06-2018,"1,153.80","1,144.00","1,160.90","1,133.20",0.89K,0.57%
18-06-2018,"1,147.30","1,132.30","1,156.00","1,128.20",1.09K,-0.86%
15-06-2018,"1,157.30","1,167.00","1,173.70","1,146.50",1.22K,0.06%
14-06-2018,"1,156.60","1,149.90","1,165.20","1,138.00",1.12K,1.07%
13-06-2018,"1,144.40","1,129.90","1,148.50","1,106.00",1.86K,1.91%
12-06-2018,"1,123.00","1,155.00","1,158.00","1,123.00",1.20K,-3.99%
11-06-2018,"1,169.70","1,210.00","1,210.00","1,169.70",1.11K,-4.00%
08-06-2018,"1,218.40","1,215.00","1,255.00","1,210.30",1.56K,0.50%
07-06-2018,"1,212.30","1,224.90","1,224.90","1,192.10",1.07K,-0.09%
06-06-2018,"1,213.40","1,208.00","1,250.00","1,208.00",1.82K,0.76%
05-06-2018,"1,204.30","1,164.90","1,205.60","1,156.00",1.46K,3.88%
04-06-2018,"1,159.30","1,164.00","1,181.90","1,157.50",1.10K,0.75%
01-06-2018,"1,150.70","1,130.90","1,162.70","1,128.50",1.19K,-8.56%
31-05-2018,"1,258.40","1,290.00","1,310.00","1,242.70",0.09K,-2.78%
30-05-2018,"1,294.40","1,290.00","1,305.00","1,290.00",0.13K,-0.60%
29-05-2018,"1,302.20","1,280.10","1,305.00","1,277.70",0.08K,0.56%
28-05-2018,"1,295.00","1,300.00","1,310.00","1,284.50",0.34K,-3.21%
25-05-2018,"1,338.00","1,318.20","1,343.90","1,315.20",0.44K,3.03%
24-05-2018,"1,298.60","1,251.00","1,299.00","1,250.00",0.41K,3.96%
23-05-2018,"1,249.10","1,255.60","1,274.90","1,239.10",0.41K,-1.38%
22-05-2018,"1,266.60","1,305.90","1,311.90","1,262.40",0.82K,-3.67%
21-05-2018,"1,314.90","1,303.10","1,343.40","1,301.20",0.44K,-0.66%
18-05-2018,"1,323.60","1,295.90","1,332.00","1,294.00",0.51K,2.24%
17-05-2018,"1,294.60","1,327.50","1,335.00","1,287.50",0.51K,-3.31%
16-05-2018,"1,338.90","1,314.00","1,348.00","1,305.00",0.55K,2.61%
15-05-2018,"1,304.80","1,274.10","1,314.00","1,266.30",0.59K,1.93%
14-05-2018,"1,280.10","1,347.00","1,347.00","1,279.90",0.64K,-3.98%
11-05-2018,"1,333.20","1,380.00","1,380.00","1,333.10",0.56K,-3.99%
10-05-2018,"1,388.60","1,394.00","1,397.00","1,365.20",0.76K,-0.32%
09-05-2018,"1,393.10","1,371.00","1,405.00","1,371.00",0.51K,1.66%
08-05-2018,"1,370.30","1,360.00","1,396.80","1,354.00",1.05K,1.33%
07-05-2018,"1,352.30","1,309.00","1,352.30","1,309.00",0.61K,4.00%
04-05-2018,"1,300.30","1,276.10","1,310.00","1,270.50",0.71K,1.79%
03-05-2018,"1,277.40","1,289.90","1,298.00","1,274.00",0.63K,-0.97%
02-05-2018,"1,289.90","1,284.10","1,300.00","1,271.10",0.78K,-13.84%
30-04-2018,"1,497.10","1,509.80","1,510.00","1,479.00",0.16K,-0.17%
27-04-2018,"1,499.60","1,487.10","1,514.00","1,487.10",0.36K,0.42%
26-04-2018,"1,493.30","1,486.00","1,526.00","1,481.10",0.15K,-0.76%
25-04-2018,"1,504.80","1,488.00","1,515.00","1,468.00",0.27K,1.56%
24-04-2018,"1,481.70","1,447.00","1,488.00","1,447.00",0.43K,2.17%
23-04-2018,"1,450.20","1,412.00","1,450.20","1,412.00",0.41K,3.99%
20-04-2018,"1,394.50","1,421.00","1,421.00","1,387.20",0.30K,-1.48%
19-04-2018,"1,415.50","1,416.40","1,464.50","1,407.00",0.65K,-1.46%
18-04-2018,"1,436.40","1,457.00","1,461.40","1,422.50",0.51K,-1.72%
17-04-2018,"1,461.50","1,437.00","1,464.50","1,427.00",0.61K,1.35%
16-04-2018,"1,442.10","1,401.50","1,449.00","1,400.20",0.69K,2.44%
13-04-2018,"1,407.80","1,420.10","1,430.00","1,401.30",0.62K,-0.78%
12-04-2018,"1,418.80","1,448.60","1,456.70","1,405.00",0.81K,-1.01%
11-04-2018,"1,433.30","1,411.10","1,440.00","1,394.10",0.79K,1.47%
10-04-2018,"1,412.60","1,372.20","1,418.00","1,366.00",0.98K,2.53%
09-04-2018,"1,377.80","1,416.00","1,416.00","1,367.00",0.95K,-2.94%
06-04-2018,"1,419.60","1,444.00","1,473.00","1,415.00",1.18K,-2.55%
05-04-2018,"1,456.80","1,405.00","1,459.60","1,405.00",1.03K,3.80%
04-04-2018,"1,403.50","1,403.00","1,468.40","1,388.70",2.26K,-1.56%
03-04-2018,"1,425.70","1,386.10","1,426.00","1,374.20",1.87K,3.97%
02-04-2018,"1,371.20","1,338.00","1,371.20","1,338.00",0.93K,-9.35%
28-03-2018,"1,512.60","1,470.00","1,521.00","1,460.00",0.14K,2.40%
27-03-2018,"1,477.20","1,478.00","1,478.20","1,434.80",0.41K,2.93%
26-03-2018,"1,435.20","1,410.00","1,435.50","1,375.00",0.33K,3.98%
23-03-2018,"1,380.30","1,346.20","1,382.20","1,314.10",0.57K,3.85%
22-03-2018,"1,329.10","1,277.10","1,329.10","1,269.00",0.93K,4.00%
21-03-2018,"1,278.00","1,235.00","1,281.50","1,215.00",2.07K,3.45%
20-03-2018,"1,235.40","1,190.00","1,236.60","1,185.50",1.35K,3.89%
19-03-2018,"1,189.10","1,242.90","1,242.90","1,183.00",1.45K,-1.46%
16-03-2018,"1,206.70","1,171.00","1,206.70","1,168.00",1.67K,4.00%
15-03-2018,"1,160.30","1,159.00","1,171.70","1,146.80",1.35K,0.29%
14-03-2018,"1,157.00","1,174.90","1,196.00","1,154.00",1.65K,-2.19%
13-03-2018,"1,182.90","1,225.00","1,235.00","1,179.40",1.52K,-3.71%
12-03-2018,"1,228.50","1,208.10","1,237.00","1,208.00",1.08K,1.12%
09-03-2018,"1,214.90","1,235.10","1,246.20","1,206.60",1.45K,-1.98%
08-03-2018,"1,239.50","1,211.10","1,243.30","1,206.80",1.59K,2.40%
07-03-2018,"1,210.50","1,228.00","1,243.80","1,206.30",1.88K,-2.01%
06-03-2018,"1,235.30","1,245.00","1,273.50","1,223.30",2.08K,-1.19%
05-03-2018,"1,250.20","1,280.00","1,280.00","1,242.30",1.20K,-2.18%
01-03-2018,"1,278.10","1,307.90","1,309.00","1,269.50",1.03K,-0.58%
28-02-2018,"1,285.50","1,268.00","1,289.80","1,242.00",0.14K,0.47%
27-02-2018,"1,279.50","1,330.00","1,347.00","1,276.70",0.43K,-2.87%
26-02-2018,"1,317.30","1,302.00","1,321.70","1,282.00",0.22K,2.65%
23-02-2018,"1,283.30","1,249.00","1,293.00","1,249.00",0.33K,2.57%
22-02-2018,"1,251.10","1,299.80","1,299.80","1,246.00",0.53K,-2.99%
21-02-2018,"1,289.70","1,266.10","1,306.50","1,243.50",1.14K,2.12%
20-02-2018,"1,262.90","1,281.20","1,300.00","1,262.80",0.72K,-3.99%
19-02-2018,"1,315.40","1,361.00","1,369.80","1,315.40",0.84K,-2.99%
16-02-2018,"1,356.00","1,328.00","1,366.20","1,319.90",1.09K,0.73%
15-02-2018,"1,346.20","1,374.40","1,397.00","1,338.00",1.37K,-2.63%
14-02-2018,"1,382.60","1,427.00","1,453.50","1,376.90",1.15K,-3.60%
12-02-2018,"1,434.20","1,414.00","1,455.00","1,400.00",0.96K,-0.16%
09-02-2018,"1,436.50","1,407.90","1,443.80","1,395.50",1.30K,1.59%
08-02-2018,"1,414.00","1,461.00","1,464.80","1,398.00",1.11K,-2.25%
07-02-2018,"1,446.60","1,507.00","1,516.50","1,441.40",1.31K,-3.65%
06-02-2018,"1,501.40","1,487.00","1,520.90","1,476.10",1.23K,-0.50%
05-02-2018,"1,508.90","1,562.00","1,572.50","1,508.90",1.12K,-4.00%
02-02-2018,"1,571.70","1,576.00","1,603.00","1,565.00",1.53K,0.40%
01-02-2018,"1,565.40","1,539.90","1,573.00","1,528.10",1.08K,3.01%
31-01-2018,"1,519.60","1,505.00","1,534.60","1,472.00",0.13K,0.84%
30-01-2018,"1,506.90","1,535.10","1,535.10","1,494.00",0.17K,-1.47%
29-01-2018,"1,529.40","1,518.00","1,539.50","1,511.00",0.29K,1.61%
25-01-2018,"1,505.20","1,477.00","1,521.00","1,473.00",0.80K,0.19%
24-01-2018,"1,502.30","1,522.00","1,524.80","1,493.10",0.89K,-2.05%
23-01-2018,"1,533.70","1,500.00","1,544.00","1,482.10",1.79K,1.77%
22-01-2018,"1,507.00","1,532.00","1,537.20","1,499.00",1.22K,-2.35%
19-01-2018,"1,543.30","1,535.00","1,562.70","1,516.00",1.26K,1.45%
18-01-2018,"1,521.30","1,600.00","1,609.00","1,518.60",1.59K,-3.82%
17-01-2018,"1,581.80","1,569.90","1,591.00","1,562.30",1.20K,1.70%
16-01-2018,"1,555.30","1,580.60","1,604.00","1,531.20",1.78K,-2.49%
15-01-2018,"1,595.00","1,624.00","1,643.90","1,591.20",1.09K,-3.76%
12-01-2018,"1,657.40","1,648.60","1,670.00","1,628.00",1.69K,-0.76%
11-01-2018,"1,670.10","1,639.90","1,673.70","1,623.20",2.08K,2.78%
10-01-2018,"1,625.00","1,623.90","1,635.00","1,592.50",1.39K,0.95%
09-01-2018,"1,609.70","1,630.90","1,677.70","1,594.50",1.97K,-2.07%
08-01-2018,"1,643.80","1,673.90","1,673.90","1,635.10",1.15K,-1.67%
05-01-2018,"1,671.80","1,675.00","1,710.00","1,656.80",1.72K,0.76%
04-01-2018,"1,659.20","1,646.00","1,674.90","1,633.20",1.73K,2.28%
03-01-2018,"1,622.20","1,598.90","1,631.70","1,582.00",2.09K,2.79%
02-01-2018,"1,578.10","1,596.30","1,649.00","1,578.10",2.40K,-4.00%
01-01-2018,"1,643.80","1,675.00","1,675.00","1,643.80",0.86K,-6.45%
29-12-2017,"1,757.10","1,744.60","1,798.00","1,720.00",0.18K,0.65%
28-12-2017,"1,745.80","1,682.00","1,750.20","1,676.40",0.36K,3.74%
27-12-2017,"1,682.90","1,653.20","1,687.90","1,634.40",0.49K,2.32%
26-12-2017,"1,644.70","1,680.00","1,681.80","1,609.00",0.72K,-0.78%
22-12-2017,"1,657.60","1,665.90","1,690.00","1,620.10",1.19K,0.01%
21-12-2017,"1,657.50","1,574.90","1,662.00","1,548.00",2.30K,3.72%
20-12-2017,"1,598.10","1,699.00","1,704.00","1,598.10",1.70K,-3.99%
19-12-2017,"1,664.60","1,629.90","1,668.20","1,626.10",1.23K,3.77%
18-12-2017,"1,604.10","1,553.00","1,617.90","1,540.00",2.01K,1.33%
15-12-2017,"1,583.00","1,636.40","1,640.10","1,583.00",1.49K,-4.00%
14-12-2017,"1,648.90","1,723.90","1,723.90","1,642.00",2.11K,-2.73%
13-12-2017,"1,695.20","1,721.00","1,784.90","1,689.40",2.45K,-3.67%
12-12-2017,"1,759.70","1,782.10","1,801.90","1,755.10",1.72K,-3.75%
11-12-2017,"1,828.20","1,881.00","1,881.00","1,828.20",1.45K,-4.00%
08-12-2017,"1,904.30","1,872.00","1,915.90","1,854.00",1.93K,2.38%
07-12-2017,"1,860.10","1,852.80","1,872.00","1,791.30",2.72K,0.30%
06-12-2017,"1,854.50","1,892.10","1,913.60","1,846.10",1.61K,-2.15%
05-12-2017,"1,895.20","1,886.10","1,923.90","1,876.20",1.85K,-0.79%
04-12-2017,"1,910.30","1,960.60","1,991.90","1,874.90",2.31K,-0.67%
01-12-2017,"1,923.20","1,871.70","1,936.30","1,826.30",1.73K,5.82%
30-11-2017,"1,817.50","1,841.40","1,861.20","1,790.00",0.10K,0.58%
29-11-2017,"1,807.00","1,785.00","1,808.70","1,780.00",0.15K,2.90%
28-11-2017,"1,756.10","1,737.00","1,764.80","1,719.20",0.19K,1.29%
27-11-2017,"1,733.70","1,705.80","1,764.00","1,702.00",0.17K,0.94%
24-11-2017,"1,717.50","1,766.40","1,770.80","1,716.60",0.29K,-2.94%
23-11-2017,"1,769.60","1,740.00","1,775.40","1,720.00",0.50K,3.66%
22-11-2017,"1,707.20","1,714.40","1,767.40","1,692.10",0.86K,-0.51%
21-11-2017,"1,716.00","1,740.00","1,756.90","1,690.90",1.41K,1.57%
20-11-2017,"1,689.40","1,660.00","1,689.40","1,660.00",0.78K,4.00%
17-11-2017,"1,624.50","1,636.00","1,643.50","1,616.30",1.19K,-0.08%
16-11-2017,"1,625.80","1,652.10","1,675.00","1,613.80",1.41K,-1.79%
15-11-2017,"1,655.40","1,661.00","1,703.60","1,626.00",2.35K,-0.14%
14-11-2017,"1,657.80","1,725.00","1,782.00","1,647.50",3.43K,-3.26%
13-11-2017,"1,713.60","1,598.30","1,713.60","1,581.80",4.07K,4.00%
10-11-2017,"1,647.70","1,767.70","1,767.70","1,647.70",1.30K,-4.00%
09-11-2017,"1,716.30","1,699.80","1,716.30","1,699.80",0.07K,4.00%
08-11-2017,"1,650.30","1,604.00","1,650.30","1,604.00",1.92K,4.00%
07-11-2017,"1,586.90","1,539.80","1,586.90","1,529.30",4.88K,4.00%
06-11-2017,"1,525.90","1,468.90","1,525.90","1,468.90",2.86K,3.99%
03-11-2017,"1,467.30","1,421.00","1,474.00","1,421.00",5.36K,3.37%
02-11-2017,"1,419.40","1,369.90","1,420.10","1,345.10",4.11K,3.95%
01-11-2017,"1,365.50","1,323.00","1,365.50","1,323.00",2.58K,4.67%
31-10-2017,"1,304.60","1,311.40","1,350.00","1,275.10",0.18K,-0.50%
30-10-2017,"1,311.20","1,312.00","1,318.00","1,270.50",0.53K,0.99%
27-10-2017,"1,298.40","1,275.90","1,307.90","1,270.70",0.81K,1.92%
26-10-2017,"1,273.90","1,261.30","1,276.00","1,255.50",1.71K,1.30%
25-10-2017,"1,257.60","1,250.40","1,261.00","1,245.30",1.48K,0.80%
24-10-2017,"1,247.60","1,241.80","1,251.80","1,227.10",1.69K,0.87%
23-10-2017,"1,236.90","1,252.30","1,252.40","1,232.60",1.37K,-1.75%
19-10-2017,"1,258.90","1,264.60","1,270.50","1,255.10",0.49K,0.07%
18-10-2017,"1,258.00","1,252.10","1,267.90","1,252.10",1.63K,0.70%
17-10-2017,"1,249.20","1,240.80","1,252.00","1,237.80",0.97K,0.47%
16-10-2017,"1,243.30","1,245.10","1,257.00","1,241.20",1.67K,0.40%
13-10-2017,"1,238.30","1,253.00","1,253.50","1,233.10",1.86K,-0.83%
12-10-2017,"1,248.70","1,261.00","1,264.00","1,245.50",2.31K,-0.39%
11-10-2017,"1,253.60","1,221.40","1,257.90","1,221.40",2.68K,2.97%
10-10-2017,"1,217.40","1,214.00","1,221.00","1,213.50",1.23K,0.33%
09-10-2017,"1,213.40","1,212.00","1,223.90","1,211.10",1.26K,0.15%
06-10-2017,"1,211.60","1,223.00","1,226.00","1,210.00",1.61K,-0.79%
05-10-2017,"1,221.20","1,209.80","1,227.40","1,208.10",2.17K,0.97%
04-10-2017,"1,209.50","1,201.50","1,213.00","1,197.10",1.86K,0.98%
03-10-2017,"1,197.80","1,191.20","1,203.90","1,180.20",1.57K,2.06%
29-09-2017,"1,173.60","1,163.40","1,180.00","1,163.00",0.37K,0.86%
28-09-2017,"1,163.60","1,171.80","1,173.70","1,159.50",0.30K,-0.80%
27-09-2017,"1,173.00","1,146.30","1,180.00","1,144.00",0.60K,2.06%
26-09-2017,"1,149.30","1,152.70","1,156.00","1,141.00",1.18K,-0.71%
25-09-2017,"1,157.50","1,175.50","1,175.50","1,148.60",1.41K,-1.50%
22-09-2017,"1,175.10","1,175.50","1,183.00","1,170.50",1.37K,0.26%
21-09-2017,"1,172.10","1,179.90","1,184.80","1,169.00",1.60K,-0.69%
20-09-2017,"1,180.20","1,164.60","1,184.50","1,160.60",1.88K,1.11%
19-09-2017,"1,167.30","1,182.40","1,182.50","1,162.60",2.86K,-1.55%
18-09-2017,"1,185.70","1,198.10","1,201.00","1,182.60",1.75K,-1.33%
15-09-2017,"1,201.70","1,196.00","1,208.00","1,196.00",1.52K,0.28%
14-09-2017,"1,198.40","1,198.20","1,204.10","1,191.10",2.08K,-0.23%
13-09-2017,"1,201.20","1,202.60","1,210.80","1,195.10",2.21K,-0.22%
12-09-2017,"1,203.90","1,202.00","1,213.80","1,200.00",2.36K,0.10%
11-09-2017,"1,202.70","1,200.00","1,206.00","1,182.60",2.83K,-0.04%
