Date,Price,Open,High,Low,Vol.,Change %
31-12-2018,"1,534.40","1,518.00","1,548.80","1,508.00",0.20K,1.55%
28-12-2018,"1,511.00","1,544.90","1,544.90","1,496.60",0.16K,-1.58%
27-12-2018,"1,535.20","1,525.00","1,539.00","1,518.00",0.07K,2.29%
26-12-2018,"1,500.80","1,489.90","1,534.50","1,486.20",0.37K,1.71%
24-12-2018,"1,475.50","1,432.20","1,500.00","1,427.10",0.51K,-0.06%
21-12-2018,"1,476.40","1,495.10","1,506.80","1,471.00",0.66K,-2.28%
20-12-2018,"1,510.80","1,497.90","1,523.20","1,492.60",0.78K,1.63%
19-12-2018,"1,486.60","1,460.10","1,490.50","1,460.00",0.67K,1.11%
18-12-2018,"1,470.30","1,469.90","1,493.40","1,464.00",0.72K,-0.76%
17-12-2018,"1,481.50","1,470.00","1,494.40","1,458.10",1.36K,-0.68%
14-12-2018,"1,491.70","1,483.80","1,498.40","1,474.10",0.99K,-0.11%
13-12-2018,"1,493.40","1,495.00","1,531.90","1,481.00",1.55K,0.39%
12-12-2018,"1,487.60","1,548.90","1,550.10","1,482.10",1.30K,-3.64%
11-12-2018,"1,543.80","1,535.40","1,565.00","1,535.10",1.00K,1.25%
10-12-2018,"1,524.80","1,540.70","1,547.00","1,524.80",1.00K,-4.00%
07-12-2018,"1,588.30","1,592.60","1,600.00","1,575.70",0.77K,-1.58%
06-12-2018,"1,613.80","1,619.00","1,626.00","1,594.00",1.00K,-0.16%
05-12-2018,"1,616.40","1,611.90","1,625.00","1,582.00",1.23K,0.34%
04-12-2018,"1,610.90","1,555.00","1,646.90","1,555.00",1.37K,1.72%
03-12-2018,"1,583.60","1,600.30","1,600.30","1,583.60",0.43K,-2.91%
30-11-2018,"1,631.00","1,670.00","1,670.00","1,619.50",0.04K,-3.31%
29-11-2018,"1,686.90","1,695.80","1,703.70","1,680.20",0.13K,0.20%
28-11-2018,"1,683.50","1,675.00","1,685.80","1,662.50",0.13K,0.27%
27-11-2018,"1,678.90","1,673.90","1,682.00","1,654.00",0.41K,0.63%
26-11-2018,"1,668.40","1,670.00","1,682.90","1,645.50",0.75K,0.00%
23-11-2018,"1,668.40","1,668.40","1,668.40","1,668.40",,0.00%
22-11-2018,"1,668.40","1,659.00","1,682.40","1,652.40",0.99K,1.61%
21-11-2018,"1,641.90","1,620.00","1,650.90","1,589.50",1.24K,-0.83%
20-11-2018,"1,655.70","1,714.90","1,714.90","1,655.70",0.93K,-4.00%
